CP1166  ok: CP1166
CP1167  ok: CP1167
CP1250  fail: CP1250
CP1251  fail: CP1251
CP1252  fail: CP1252
CP1253  fail: CP1253
CP1254  fail: CP1254
CP1255  fail: CP1255
CP1256  ok: CP1256
CP1257  fail: CP1257
CP1258  fail: CP1258
CP12712  fail: CP12712
CP1282  ok: CP1282
CP1361  fail: CP1361
CP1364  fail: CP1364
CP1371  fail: CP1371
CP1388  fail: CP1388
CP1390  fail: CP1390
CP1399  fail: CP1399
CP16804  fail: CP16804
CP273  ok: CP273
CP274  fail: CP274
CP275  fail: CP275
CP278  ok: CP278
CP280  ok: CP280
CP281  fail: CP281
CP282  ok: CP282
CP284  ok: CP284
CP285  ok: CP285
CP290  fail: CP290
CP297  ok: CP297
CP367  fail: CP367
CP420  fail: CP420
CP423  fail: CP423
CP424  fail: CP424
CP437  ok: CP437
CP4517  fail: CP4517
CP4899  fail: CP4899
CP4909  fail: CP4909
CP4971  fail: CP4971
CP500  ok: CP500
CP5347  ok: CP5347
CP737  ok: CP737
CP770  ok: CP770
CP771  ok: CP771
CP772  ok: CP772
CP773  ok: CP773
CP774  ok: CP774
CP775  ok: CP775
CP803  fail: CP803
CP813  fail: CP813
CP819  ok: CP819
CP850  ok: CP850
CP851  fail: CP851
CP852  ok: CP852
CP855  ok: CP855
CP856  fail: CP856
CP857  fail: CP857
CP860  ok: CP860
CP861  ok: CP861
CP862  ok: CP862
CP863  ok: CP863
CP864  fail: CP864
CP865  ok: CP865
CP866  ok: CP866
CP866NAV  ok: CP866NAV
CP868  fail: CP868
CP869  fail: CP869
CP870  ok: CP870
CP871  ok: CP871
CP874  fail: CP874
CP875  fail: CP875
CP880  fail: CP880
CP891  fail: CP891
CP901  ok: CP901
CP902  ok: CP902
CP903  fail: CP903
CP9030  ok: CP9030
CP904  fail: CP904
CP905  fail: CP905
CP9066  fail: CP9066
CP912  ok: CP912
CP915  ok: CP915
CP916  fail: CP916
CP918  fail: CP918
CP920  ok: CP920
CP921  ok: CP921
CP922  ok: CP922
CP930  fail: CP930
CP932  fail: CP932
CP933  fail: CP933
CP935  fail: CP935
CP936  fail: CP936
CP937  fail: CP937
CP939  fail: CP939
CP9448  ok: CP9448
CP949  fail: CP949
CP950  fail: CP950
CP-AR  fail: CP-AR
CP-GR  fail: CP-GR
CP-HU  ok: CP-HU
CPIBM861  ok: CPIBM861
CSA7-1  fail: CSA7-1
CSA7-2  fail: CSA7-2
CSASCII  fail: CSASCII
CSA_T500  fail: CSA_T500
CSA_T500-1983  fail: CSA_T500-1983
CSA_Z243.419851  fail: CSA_Z243.419851
CSA_Z243.4-1985-1  fail: CSA_Z243.4-1985-1
CSA_Z243.419852  fail: CSA_Z243.419852
CSA_Z243.4-1985-2  fail: CSA_Z243.4-1985-2
CSDECMCS  fail: CSDECMCS
CSEBCDICATDE  fail: CSEBCDICATDE
CSEBCDICATDEA  fail: CSEBCDICATDEA
CSEBCDICCAFR  fail: CSEBCDICCAFR
CSEBCDICDKNO  fail: CSEBCDICDKNO
CSEBCDICDKNOA  fail: CSEBCDICDKNOA
CSEBCDICES  fail: CSEBCDICES
CSEBCDICESA  fail: CSEBCDICESA
CSEBCDICESS  fail: CSEBCDICESS
CSEBCDICFISE  fail: CSEBCDICFISE
CSEBCDICFISEA  fail: CSEBCDICFISEA
CSEBCDICFR  fail: CSEBCDICFR
CSEBCDICIT  fail: CSEBCDICIT
CSEBCDICPT  fail: CSEBCDICPT
CSEBCDICUK  fail: CSEBCDICUK
CSEBCDICUS  fail: CSEBCDICUS
CSEUCKR  fail: CSEUCKR
CSEUCPKDFMTJAPANESE  fail: CSEUCPKDFMTJAPANESE
CSGB2312  fail: CSGB2312
CSHPROMAN8  fail: CSHPROMAN8
CSIBM037  ok: CSIBM037
CSIBM038  fail: CSIBM038
CSIBM1008  fail: CSIBM1008
CSIBM1025  ok: CSIBM1025
CSIBM1026  ok: CSIBM1026
CSIBM1097  ok: CSIBM1097
CSIBM1112  ok: CSIBM1112
CSIBM1122  ok: CSIBM1122
CSIBM1123  ok: CSIBM1123
CSIBM1124  ok: CSIBM1124
CSIBM1129  ok: CSIBM1129
CSIBM1130  ok: CSIBM1130
CSIBM1132  fail: CSIBM1132
CSIBM1133  fail: CSIBM1133
CSIBM1137  fail: CSIBM1137
CSIBM1140  ok: CSIBM1140
CSIBM1141  ok: CSIBM1141
CSIBM1142  ok: CSIBM1142
CSIBM1143  ok: CSIBM1143
CSIBM1144  ok: CSIBM1144
CSIBM1145  ok: CSIBM1145
CSIBM1146  ok: CSIBM1146
CSIBM1147  ok: CSIBM1147
CSIBM1148  ok: CSIBM1148
CSIBM1149  ok: CSIBM1149
CSIBM1153  ok: CSIBM1153
CSIBM1154  ok: CSIBM1154
CSIBM1155  ok: CSIBM1155
CSIBM1156  ok: CSIBM1156
CSIBM1157  ok: CSIBM1157
CSIBM1158  ok: CSIBM1158
CSIBM1160  ok: CSIBM1160
CSIBM1161  fail: CSIBM1161
CSIBM11621162  fail: CSIBM11621162
CSIBM1163  ok: CSIBM1163
CSIBM1164  ok: CSIBM1164
CSIBM1166  ok: CSIBM1166
CSIBM1167  ok: CSIBM1167
CSIBM12712  fail: CSIBM12712
CSIBM1364  fail: CSIBM1364
CSIBM1371  fail: CSIBM1371
CSIBM1388  fail: CSIBM1388
CSIBM1390  fail: CSIBM1390
CSIBM1399  fail: CSIBM1399
CSIBM16804  fail: CSIBM16804
CSIBM273  ok: CSIBM273
CSIBM274  fail: CSIBM274
CSIBM275  fail: CSIBM275
CSIBM277  ok: CSIBM277
CSIBM278  ok: CSIBM278
CSIBM280  ok: CSIBM280
CSIBM281  fail: CSIBM281
CSIBM284  ok: CSIBM284
CSIBM285  ok: CSIBM285
CSIBM290  fail: CSIBM290
CSIBM297  ok: CSIBM297
CSIBM420  fail: CSIBM420
CSIBM423  fail: CSIBM423
CSIBM424  fail: CSIBM424
CSIBM4517  fail: CSIBM4517
CSIBM4899  fail: CSIBM4899
CSIBM4909  fail: CSIBM4909
CSIBM4971  fail: CSIBM4971
CSIBM500  ok: CSIBM500
CSIBM5347  ok: CSIBM5347
CSIBM803  fail: CSIBM803
CSIBM851  fail: CSIBM851
CSIBM855  ok: CSIBM855
CSIBM856  fail: CSIBM856
CSIBM857  fail: CSIBM857
CSIBM860  ok: CSIBM860
CSIBM863  ok: CSIBM863
CSIBM864  fail: CSIBM864
CSIBM865  ok: CSIBM865
CSIBM866  ok: CSIBM866
CSIBM868  fail: CSIBM868
CSIBM869  fail: CSIBM869
CSIBM870  ok: CSIBM870
CSIBM871  ok: CSIBM871
CSIBM880  fail: CSIBM880
CSIBM891  fail: CSIBM891
CSIBM901  ok: CSIBM901
CSIBM902  ok: CSIBM902
CSIBM903  fail: CSIBM903
CSIBM9030  ok: CSIBM9030
CSIBM904  fail: CSIBM904
CSIBM905  fail: CSIBM905
CSIBM9066  fail: CSIBM9066
CSIBM918  fail: CSIBM918
CSIBM921  ok: CSIBM921
CSIBM922  ok: CSIBM922
CSIBM930  fail: CSIBM930
CSIBM932  fail: CSIBM932
CSIBM933  fail: CSIBM933
CSIBM935  fail: CSIBM935
CSIBM937  fail: CSIBM937
CSIBM939  fail: CSIBM939
CSIBM943  fail: CSIBM943
CSIBM9448  ok: CSIBM9448
CSISO10367BOX  fail: CSISO10367BOX
CSISO103T618BIT  fail: CSISO103T618BIT
CSISO10SWEDISH  fail: CSISO10SWEDISH
CSISO111ECMACYRILLIC  ok: CSISO111ECMACYRILLIC
CSISO11SWEDISHFORNAMES  fail: CSISO11SWEDISHFORNAMES
CSISO121CANADIAN1  fail: CSISO121CANADIAN1
CSISO122CANADIAN2  fail: CSISO122CANADIAN2
CSISO139CSN369103  ok: CSISO139CSN369103
CSISO141JUSIB1002  fail: CSISO141JUSIB1002
CSISO143IECP271  ok: CSISO143IECP271
CSISO14JISC6220RO  fail: CSISO14JISC6220RO
CSISO150  fail: CSISO150
CSISO150GREEKCCITT  fail: CSISO150GREEKCCITT
CSISO151CUBA  fail: CSISO151CUBA
CSISO153GOST1976874  fail: CSISO153GOST1976874
CSISO15ITALIAN  fail: CSISO15ITALIAN
CSISO16PORTUGESE  fail: CSISO16PORTUGESE
CSISO17SPANISH  fail: CSISO17SPANISH
CSISO18GREEK7OLD  fail: CSISO18GREEK7OLD
CSISO19LATINGREEK  fail: CSISO19LATINGREEK
CSISO2022CN  fail: CSISO2022CN
CSISO2022JP  fail: CSISO2022JP
CSISO2022JP2  fail: CSISO2022JP2
CSISO2022KR  fail: CSISO2022KR
CSISO2033  fail: CSISO2033
CSISO21GERMAN  fail: CSISO21GERMAN
CSISO25FRENCH  fail: CSISO25FRENCH
CSISO27LATINGREEK1  fail: CSISO27LATINGREEK1
CSISO49INIS  fail: CSISO49INIS
CSISO4UNITEDKINGDOM  fail: CSISO4UNITEDKINGDOM
CSISO50INIS8  fail: CSISO50INIS8
CSISO51INISCYRILLIC  fail: CSISO51INISCYRILLIC
CSISO5427CYRILLIC  fail: CSISO5427CYRILLIC
CSISO5427CYRILLIC1981  fail: CSISO5427CYRILLIC1981
CSISO5428GREEK  fail: CSISO5428GREEK
CSISO58GB1988  fail: CSISO58GB1988
CSISO60DANISHNORWEGIAN  fail: CSISO60DANISHNORWEGIAN
CSISO60NORWEGIAN1  fail: CSISO60NORWEGIAN1
CSISO61NORWEGIAN2  fail: CSISO61NORWEGIAN2
CSISO646DANISH  fail: CSISO646DANISH
CSISO69FRENCH  fail: CSISO69FRENCH
